"filename", "language", "C#", "JSON", "ShaderLab", "HLSL", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\Malbers Animations\Common\Scripts\Editor\Menu\MalbersMenu.cs", "C#", 39, 0, 0, 0, 0, 0, 0, 15, 20, 74
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\Malbers Animations\Common\Scripts\Readme\Readme.cs", "C#", 162, 0, 0, 0, 0, 0, 0, 3, 37, 202
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\Malbers Animations\Common\Shaders\AnisotropicCircular.shader", "ShaderLab", 0, 0, 172, 0, 0, 0, 0, 103, 5, 280
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\Malbers Animations\Common\Shaders\AnisotropicWard.shader", "ShaderLab", 0, 0, 174, 0, 0, 0, 0, 151, 5, 330
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\Malbers Animations\Common\Shaders\Color3x3.shader", "ShaderLab", 0, 0, 159, 0, 0, 0, 0, 154, 4, 317
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\Malbers Animations\Common\Shaders\Color4x2 Emission.shader", "ShaderLab", 0, 0, 121, 0, 0, 0, 0, 96, 6, 223
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\Malbers Animations\Common\Shaders\Color4x2.shader", "ShaderLab", 0, 0, 126, 0, 0, 0, 0, 90, 6, 222
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\Malbers Animations\Common\Shaders\Color4x3.shader", "ShaderLab", 0, 0, 131, 0, 0, 0, 0, 121, 4, 256
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\Malbers Animations\Common\Shaders\Color4x4 v2.shader", "ShaderLab", 0, 0, 242, 0, 0, 0, 0, 212, 4, 458
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\Malbers Animations\Common\Shaders\Color4x4.shader", "ShaderLab", 0, 0, 161, 0, 0, 0, 0, 137, 4, 302
